timestamp,symbol,step,detail,extra
2025-07-29 15:10:21,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:21,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.975; Spin: 0.263; Buffer tick: 200
2025-07-29 15:10:22,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.775; Confidence troppo bassa; Entropia: 0.751; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.200; Buffer tick: 200
2025-07-29 15:10:22,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:22,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.894; Entropia: 0.976; Spin: 0.200; Buffer tick: 200
2025-07-29 15:10:22,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.775; Confidence troppo bassa; Entropia: 0.751; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.200; Buffer tick: 200
2025-07-29 15:10:22,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:22,USDJPY,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.500; Confidence troppo bassa; Entropia: 0.830; Entropia alta (>= 0.275); Spin: 0.125; Buffer tick: 200
2025-07-29 15:10:22,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.894; Entropia: 0.975; Spin: 0.200; Buffer tick: 200
2025-07-29 15:10:23,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.775; Confidence troppo bassa; Entropia: 0.751; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.200; Buffer tick: 200
2025-07-29 15:10:23,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:23,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.976; Spin: 0.100; Buffer tick: 200
